S.no,Description,Question,Answer
2825,"Vip guest during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ guest,Vip
2826,"Shreyas Iyer of Delhi with team mates in dugout during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi with team mates in dugout,Shreyas Iyer
2827,"M I huddle during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ huddle,M I
2828,"M I huddle during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ huddle,M I
2829,"Rohit Sharma of Mumbai with team mates during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Mumbai with team mates,Rohit Sharma
2830,"Umpires entering on field during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ entering on field,Umpires
2831,"Shikhar Dhawan of DC plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Shikhar Dhawan
2832,"Lasith Malinga of MI bowls during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI bowls,Lasith Malinga
2833,"Shikhar Dhawan of DC during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC,Shikhar Dhawan
2834,"Prithvi Shaw of Delhi bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Prithvi Shaw
2835,"Rohit Sharma captain of Mumbai in action during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ captain of Mumbai in action,Rohit Sharma
2836,"Parth Jindal owner of Delhi with VIP guest during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of Delhi with VIP guest,Parth Jindal
2837,"Parth Jindal owner of Delhi with VIP guest during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of Delhi with VIP guest,Parth Jindal
2838,"Rahul Johri Chief Executive Officer of BCCI officials during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of BCCI officials,Rahul Johri Chief Executive Officer
2839,"Fans during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
2840,"Cheerleaders performed during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ performed,Cheerleaders
2841,"Sourav Ganguly Adviser of Delhi during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi,Sourav Ganguly Adviser
2842,"Vivo vip box during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ vip box,Vivo
2843,"VIP guest during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ guest,VIP
2844,"Shikhar Dhawan of DC plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Shikhar Dhawan
2845,"Rahul Chahar of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI,Rahul Chahar
2846,"Shikhar Dhawan of DC plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Shikhar Dhawan
2847,"Prithvi Shaw of DC plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Prithvi Shaw
2848,"Shikhar Dhawan of Delhi bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Shikhar Dhawan
2849,"CK Khanna acting president of BCCI with officials during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ acting president of BCCI with officials,CK Khanna
2850,"Parth Jindal owner of Delhi with vips during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of Delhi with vips,Parth Jindal
2851,"Parth Jindal owner of Delhi with vips during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of Delhi with vips,Parth Jindal
2852,"Parth Jindal owner of Delhi with vips during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of Delhi with vips,Parth Jindal
2853,"Rahul Johri Chief Executive Officer of BCCI with official during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of BCCI with official,Rahul Johri Chief Executive Officer
2854,"Time out during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ out,Time
2855,"Rahul Chahar of Mumbai bowling during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Mumbai bowling,Rahul Chahar
2856,"Shikhar Dhawan of Delhi and Prithvi Shaw of Delhi during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi and Prithvi Shaw of Delhi,Shikhar Dhawan
2857,"Krunal Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Krunal Pandya
2858,"Krunal Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Krunal Pandya
2859,"Hardik Pandya of MI and Krunal Pandya of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI and Krunal Pandya of MI,Hardik Pandya
2860,"Hardik Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Hardik Pandya
2861,"Hardik Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Hardik Pandya
2862,"Hardik Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Hardik Pandya
2863,"Krunal Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Krunal Pandya
2864,"Kagiso Rabada of DC celebrates after dismissing Suryakumar Yadav of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC celebrates after dismissing Suryakumar Yadav of MI,Kagiso Rabada
2865,"Prithvi Shaw of DC during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC,Prithvi Shaw
2866,"Krunal Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Krunal Pandya
2867,"Suryakumar Yadav of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Suryakumar Yadav
2868,"Suryakumar Yadav of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Suryakumar Yadav
2869,"Krunal Pandya of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Krunal Pandya
2870,"Surya Kumar Yadav of Mumbai bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Mumbai bats,Surya Kumar Yadav
2871,"Surya Kumar Yadav of Mumbai bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Mumbai bats,Surya Kumar Yadav
2872,"Axar Patel of DC run out Quinton de Kock of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC run out Quinton de Kock of MI,Axar Patel
2873,"Axar Patel of DC run out Quinton de Kock of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC run out Quinton de Kock of MI,Axar Patel
2874,"Quinton de Kock of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Quinton de Kock
2875,"Suryakumar Yadav of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Suryakumar Yadav
2876,"Delhi players celebrate the wicket of Quinton de Kock of Mumbai during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ players celebrate wicket of Quinton de Kock,Delhi Capitals
2877,"Axar Patel of Delhi celebrates the wicket of Quinton de Kock of Mumbai during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi celebrates the wicket of Quinton de Kock,Axar Patel
2878,"Quinton de Kock of Mumbai runout by Axar Patel of Delhi during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Mumbai runout by Axar Patel of Delhi,Quinton de Kock
2879,"Axar Patel of DC celebrates after dismissing Ben Cutting of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC celebrates after taking a wicket of Ben Cutting,Axar Patel
2880,"Quinton de Kock of Mumbai bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Mumbai bats,Quinton de Kock
2881,"Amit Mishra of DC bowls during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC bowls,Amit Mishra
2882,"Amit Mishra of DC celebrates after dismissing Rohit Sharma captain of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC celebrates after dismissing Rohit Sharma,Amit Mishra
2883,"Amit Mishra of DC celebrates after dismissing Rohit Sharma captain of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC celebrates after dismissing Rohit Sharma,Amit Mishra
2884,"Axar Patel of Delhi celebrates the wicket of Ben Cutting of Mumbai during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi celebrates the wicket of Ben Cutting of Mumbai,Axar Patel
2885,"Quinton de Kock of Mumbai bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Mumbai bats,Quinton de Kock
2886,"Akash Ambani owner of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of MI,Akash Ambani
2887,"Akash Ambani owner of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of MI,Akash Ambani
2888,"Delhi fan army during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ fan army,Delhi Capitals
2889,"Akash Ambani owner of MI during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ owner of MI,Akash Ambani
2890,"Quinton de Kock of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Quinton de Kock
2891,"Keemo Paul of DC during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC,Keemo Paul
2892,"Chris Morris of DC during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC,Chris Morris
2893,"Rohit Sharma captain of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captain of MI plays a shot,Rohit Sharma
2894,"Rishabh Pant of DC and Nigel Llong umpire during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC and Nigel Llong umpire,Rishabh Pant
2895,"Amit Mishra of Delhi celebrates the wicket of Rohit Sharma captain of Mumbai during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi celebrates the wicket of Rohit Sharma,Amit Mishra
2896,"Quinton de Kock of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Quinton de Kock
2897,"Chris Morris of Delhi reacts during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi reacts,Chris Morris
2898,"Rohit Sharma of Mumbai and Quinton de Kock of Mumbai entering on field during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Mumbai and Quinton de Kock of Mumbai entering on field,Rohit Sharma
2899,"Delhi huddle during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ huddle,Delhi Capitals
2900,"Delhi players entering on field during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ players entering on field,Delhi Capitals
2901,"Rohit Sharma captain of Mumbai bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ captain of Mumbai bats,Rohit Sharma
2902,"Rohit Sharma captain of Mumbai bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ captain of Mumbai bats,Rohit Sharma
2903,"Rohit Sharma captain of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captain of MI plays a shot,Rohit Sharma
2904,"Ishant Sharma of DC during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC,Ishant Sharma
2905,"Quinton de Kock of MI plays a shot during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of MI plays a shot,Quinton de Kock
2906,"Rohit Sharma of Mumbai and Shreyas Iyer of Delhi during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Mumbai and Shreyas Iyer of Delhi,Rohit Sharma
2907,"during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,
2908,"Sourav Ganguly advisor of the Delhi rings the bell during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ advisor of the Delhi rings the bell,Sourav Ganguly
2909,"Quinton de Kock of Mumbai bats during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Mumbai bats,Quinton de Kock
2910,"Shreyas Iyer captain of Delhi and Rohit Sharma captain of Mumbai during Toss before the start of the match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ captain of Delhi and Rohit Sharma captain of Mumbai,Shreyas Iyer
2911,"Mahela Jayawardene (Head coach),Sachin Tendulkar of Mumbai and Zaheer Khan during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ , Sachin Tendulkar of Mumbai and Zaheer Khan",Mahela Jayawardene
2912,"Mahela Jayawardene (Head coach),Sachin Tendulkar of Mumbai and Zaheer Khan during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ ,Sachin Tendulkar of Mumbai and Zaheer Khan",Mahela Jayawardene
2913,"Sachin Tendulkar of Mumbai during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Mumbai,Sachin Tendulkar
2914,"Sachin Tendulkar of Mumbai during match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Mumbai,Sachin Tendulkar
2915,"Shreyas Iyer captain of Delhi and Rohit Sharma captain of Mumbai during Toss before the start of the match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ captain of Delhi and Rohit Sharma captain of Mumbai,Shreyas Iyer
2916,"Shreyas Iyer captain of Delhi and Rohit Sharma captain of Mumbai during Toss before the start of the match 34 of the IPLSeason 12, 2019 between the Delhi and the Mumbai held at the Feroz Shah Kotla Ground, Delhi on the 18th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ captain of Delhi and Rohit Sharma captain of Mumbai,Shreyas Iyer
2917,"David Warner of Hyderabad receives the man of the match award during the presentation of the match match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ of Hyderabad receives the man of the match award,David Warner
2918,"Kane Williamson captain of Hyderabad signs the match ball for the Hotstar Fanduring match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ of Hyderabad signs the match ball,Kane Williamson
2919,"Rashid Khan of Hyderabad receives the Dream 11 Gamechanger of the match award during the presentation of the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ of Hyderabad receives the Dream 11 Gamechanger award,Rashid Khan
2920,"Jonny Bairstow of Hyderabad receives the FBB Stylish Player of the match award during the presentation of the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ of Hyderabad receives the FBB Stylish Player award,Jonny Bairstow
2921,"David Warner of Hyderabad receives the Harrier Super Striker of the match award during the presentation of the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ of Hyderabad receives the Harrier Super Striker award,David Warner
2922,"Sam Billings of CSK receives the Vivo Perfect Catch of the match award during the presentation of the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ of CSK receives the Vivo Perfect Catch award,Sam Billings
2923,"David Warner of Hyderabad and Shane Watson of CSK after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ of Hyderabad and Shane Watson of CSK after the match,David Warner
2924,"Dignitaries during the presentation of the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________,Dignitaries
